first_name,last_name,email,availability
Ruth,Day,RuthDay@email.com,"['6:00-7:00pm F', '8:00-9:00pm T', '7:00-8:00pm M']"
William,Gallegos,WilliamGallegos@email.com,"['5:00-6:00pm F', '7:00-8:00pm F', '6:00-7:00pm Th']"
Randy,Timm,RandyTimm@email.com,"['3:00-4:00pm Sun', '7:00-8:00pm F', '5:00-6:00pm Th', '6:00-7:00pm Sun', '6:00-7:00pm F']"
Eric,Raby,EricRaby@email.com,"['7:00-8:00pm F', '6:00-7:00pm Sun', '8:00-9:00pm F']"
Alecia,Wilcox,AleciaWilcox@email.com,"['5:00-6:00pm Sun', '8:00-9:00pm W', '5:00-6:00pm Th', '8:00-9:00pm Sun', '8:00-9:00pm T', '5:00-6:00pm T']"
Keith,Lanzi,KeithLanzi@email.com,"['8:00-9:00pm M', '6:00-7:00pm Th', '5:00-6:00pm W']"
Clair,Harris,ClairHarris@email.com,"['7:00-8:00pm W', '5:00-6:00pm W', '7:00-8:00pm F', '8:00-9:00pm W', '6:00-7:00pm T', '8:00-9:00pm F']"
Harold,Alberts,HaroldAlberts@email.com,"['5:00-6:00pm M', '8:00-9:00pm M', '6:00-7:00pm M', '8:00-9:00pm T']"
Mary,Christman,MaryChristman@email.com,"['7:00-8:00pm F', '6:00-7:00pm F', '8:00-9:00pm Sun', '7:00-8:00pm W']"
Richard,Conner,RichardConner@email.com,"['6:00-7:00pm Th', '8:00-9:00pm Th', '7:00-8:00pm Th', '7:00-8:00pm T']"
Thomas,Brown,ThomasBrown@email.com,"['7:00-8:00pm F', '6:00-7:00pm F', '5:00-6:00pm Th', '3:00-4:00pm Sun']"
Jorge,Reed,JorgeReed@email.com,"['5:00-6:00pm T', '7:00-8:00pm T', '8:00-9:00pm T', '6:00-7:00pm Th']"
Trina,Gammon,TrinaGammon@email.com,"['5:00-6:00pm T', '6:00-7:00pm M', '7:00-8:00pm M', '8:00-9:00pm M']"
Taylor,Mccoy,TaylorMccoy@email.com,"['7:00-8:00pm Th', '6:00-7:00pm F', '6:00-7:00pm M']"
Roy,Firth,RoyFirth@email.com,"['7:00-8:00pm Sun', '8:00-9:00pm F', '7:00-8:00pm F', '6:00-7:00pm M', '6:00-7:00pm T']"
Patricia,Bowman,PatriciaBowman@email.com,"['8:00-9:00pm Th', '8:00-9:00pm T', '7:00-8:00pm Sun', '7:00-8:00pm T']"
Brian,Hoffman,BrianHoffman@email.com,"['8:00-9:00pm F', '6:00-7:00pm W', '3:00-4:00pm Sun', '6:00-7:00pm F', '8:00-9:00pm Sun']"
Henry,Smith,HenrySmith@email.com,"['6:00-7:00pm T', '8:00-9:00pm T', '7:00-8:00pm M']"
Matthew,Brodie,MatthewBrodie@email.com,"['5:00-6:00pm T', '6:00-7:00pm F', '4:00-5:00pm Sun', '6:00-7:00pm Sun']"
David,Trujillo,DavidTrujillo@email.com,"['5:00-6:00pm Th', '7:00-8:00pm F', '6:00-7:00pm Sun', '8:00-9:00pm Th', '5:00-6:00pm T']"
Kori,Ratliff,KoriRatliff@email.com,"['7:00-8:00pm T', '8:00-9:00pm T', '6:00-7:00pm Sun', '8:00-9:00pm Th', '8:00-9:00pm M']"
Walter,Albers,WalterAlbers@email.com,"['3:00-4:00pm Sun', '5:00-6:00pm T', '5:00-6:00pm M', '7:00-8:00pm M', '8:00-9:00pm F']"
Lee,Shelton,LeeShelton@email.com,"['6:00-7:00pm Sun', '5:00-6:00pm W', '5:00-6:00pm Sun']"
Caitlin,Bangert,CaitlinBangert@email.com,"['6:00-7:00pm T', '5:00-6:00pm M', '6:00-7:00pm F', '5:00-6:00pm Sun', '8:00-9:00pm Sun']"
Kelly,Widmer,KellyWidmer@email.com,"['4:00-5:00pm Sun', '6:00-7:00pm T', '5:00-6:00pm F', '5:00-6:00pm W', '7:00-8:00pm Sun']"
Katie,Lowe,KatieLowe@email.com,"['6:00-7:00pm F', '6:00-7:00pm T', '5:00-6:00pm F']"
Barry,Wright,BarryWright@email.com,"['8:00-9:00pm F', '7:00-8:00pm W', '7:00-8:00pm M']"
Edgar,Sparks,EdgarSparks@email.com,"['5:00-6:00pm M', '8:00-9:00pm W', '8:00-9:00pm T', '7:00-8:00pm M', '7:00-8:00pm Th']"
Mark,Ehrhart,MarkEhrhart@email.com,"['8:00-9:00pm Sun', '3:00-4:00pm Sun', '6:00-7:00pm T', '5:00-6:00pm W', '8:00-9:00pm W']"
Lucille,Jakeman,LucilleJakeman@email.com,"['5:00-6:00pm M', '4:00-5:00pm Sun', '7:00-8:00pm W', '6:00-7:00pm W', '8:00-9:00pm M', '6:00-7:00pm T']"
Philip,Larsen,PhilipLarsen@email.com,"['5:00-6:00pm Th', '8:00-9:00pm W', '5:00-6:00pm F', '6:00-7:00pm Sun']"
Tonya,Loudy,TonyaLoudy@email.com,"['7:00-8:00pm M', '7:00-8:00pm W', '7:00-8:00pm F', '7:00-8:00pm Sun', '3:00-4:00pm Sun']"
